id,name,alias,iata_code,icao_code,callsign,country,active
1767,China Southern Airlines,Unknown,CZ,CSN,CHINA SOUTHERN,China,Y
1768,China Southwest Airlines,Unknown,Unknown,CXN,CHINA SOUTHWEST,China,N
1769,China United Airlines,Unknown,HR,CUA,LIANHANG,China,Y
1770,China Xinhua Airlines,Unknown,XO,CXH,XINHUA,China,N
1771,Yunnan Airlines,Unknown,3Q,CYH,YUNNAN,China,Y
1772,Chinguetti Airlines,Unknown,Unknown,CGU,CHINGUETTI,Mauritania,N
1773,Chipola Aviation,Unknown,Unknown,CEP,CHIPOLA,United States,N
1774,Chippewa Air Commuter,Unknown,Unknown,CPW,CHIPPEWA-AIR,United States,N
1775,Chitaavia,Unknown,X7,CHF,CHITA,Russia,N
1776,Christman Air System,Unknown,Unknown,CAS,CHRISTMAN,United States,N
1777,Christophorus Flugrettungsverein,Unknown,Unknown,OEC,CHRISTOPHORUS,Austria,N
1778,Chrome Air Services,Unknown,Unknown,CHO,CHROME AIR,United States,N
1779,Church Aircraft,Unknown,Unknown,CHU,CHURCHAIR,United States,N
1780,Cielos Airlines,Unknown,A2,CIU,CIELOS,Peru,N
1781,Cimber Air,Unknown,QI,CIM,CIMBER,Denmark,Y
1782,Cirrus,Unknown,Unknown,RRU,HELICIRRUS,Chile,N
1783,Cirrus Air,Unknown,Unknown,NTS,NITE STAR,United States,N
1784,Cirrus Airlines,Unknown,C9,RUS,CIRRUS AIR,Germany,Y
1785,Cirrus Middle East,Unknown,Unknown,JTI,Unknown,Lebanon,N
1786,Citationshares,Unknown,Unknown,FIV,FIVE STAR,United States,N
1787,Citibank,Unknown,Unknown,XCX,Unknown,United States,N
1788,Citic General Aviation,Unknown,Unknown,HZX,ZHONGXIN,China,N
1789,City Airline,Unknown,CF,SDR,SWEDESTAR,Sweden,Y
1790,City Connexion Airlines,Unknown,G3,CIX,CONNEXION,Burundi,Y
1791,City of Bangor,Unknown,Unknown,XBG,Unknown,United States,N
1792,CityJet,Unknown,WX,BCY,CITY-IRELAND,Ireland,Y
1793,Cityair (Chester) Limited,Unknown,Unknown,CAQ,AIR CHESTER,United Kingdom,N
1794,Cityfly,Unknown,Unknown,CII,CITYFLY,Italy,N
1795,BA CityFlyer,Unknown,CJ,CFE,FLYER,United Kingdom,Y
1796,Cityline Hungary,Unknown,Unknown,CNB,CITYHUN,Hungary,N
1797,Citylink Airlines,Unknown,Unknown,HSR,HOOSIER,United States,N
1798,Civair Airways,Unknown,Unknown,CIW,CIVFLIGHT,South Africa,N
1799,Civil Air Patrol South Carolina Wing,Unknown,Unknown,BKR,BOX KAR,United States,N
1800,Civil Air Transport,Unknown,CT,CAT,Mandarin,Taiwan,N
1801,Civil Aviation Authority,Unknown,Unknown,CIA,CALIMERA,Slovakia,N
1802,Civil Aviation Authority of New Zealand,Unknown,Unknown,CIV,CIVAIR,New Zealand,N
1803,Civil Aviation Inspectorate of the Czech Republic,Unknown,Unknown,CBA,CALIBRA,Czech Republic,N
1804,Claessens International Limited,Unknown,Unknown,FMC,CLAESSENS,United Kingdom,N
1805,Clark Aviation,Unknown,Unknown,CLK,CLARKAIR,United States,N
1806,Clasair,Unknown,Unknown,CSF,CALEDONIAN,United Kingdom,N
