id,name,alias,iata_code,icao_code,callsign,country,active
1,Private flight,Unknown,-,Unknown,Unknown,Unknown,Y
2,135 Airways,Unknown,Unknown,GNL,GENERAL,United States,N
3,1Time Airline,Unknown,1T,RNX,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,Unknown,Unknown,WYT,Unknown,United Kingdom,N
5,213 Flight Unit,Unknown,Unknown,TFU,Unknown,Russia,N
6,223 Flight Unit State Airline,Unknown,Unknown,CHD,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,Unknown,Unknown,TTF,CARGO UNIT,Russia,N
8,247 Jet Ltd,Unknown,Unknown,TWF,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,Unknown,Unknown,SEC,SECUREX,United States,N
10,40-Mile Air,Unknown,Q5,MLA,MILE-AIR,United States,Y
11,4D Air,Unknown,Unknown,QRT,QUARTET,Thailand,N
12,611897 Alberta Limited,Unknown,Unknown,THD,DONUT,Canada,N
13,Ansett Australia,Unknown,AN,AAA,ANSETT,Australia,Y
14,Abacus International,Unknown,1B,Unknown,Unknown,Singapore,Y
15,Abelag Aviation,Unknown,W9,AAB,ABG,Belgium,N
16,Army Air Corps,Unknown,Unknown,AAC,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,Unknown,Unknown,AAD,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,Unknown,Unknown,SII,ASEISA,Mexico,N
19,Aero Biniza,Unknown,Unknown,BZS,BINIZA,Mexico,N
20,Aero Albatros,Unknown,Unknown,ABM,ALBATROS ESPANA,Spain,N
21,Aigle Azur,Unknown,ZI,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,Unknown,AQ,AAH,ALOHA,United States,Y
23,Alaska Island Air,Unknown,Unknown,AAK,ALASKA ISLAND,United States,N
24,American Airlines,Unknown,AA,AAL,AMERICAN,United States,Y
25,Aviation Management Corporation,Unknown,Unknown,AAM,AM CORP,United States,N
26,Atlantis Airlines (USA),Unknown,Unknown,AAO,ATLANTIS AIR,United States,N
27,Aerovista Airlines,Unknown,Unknown,AAP,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,Unknown,OZ,AAR,ASIANA,Republic Of Korea,Y
29,Askari Aviation,Unknown,4K,AAS,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,Unknown,Unknown,AAU,AUSTASIA,Australia,N
31,Astro Air International,Unknown,Unknown,AAV,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,Unknown,8U,AAW,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,Unknown,Q9,AFU,Unknown,Gambia,N
34,Afric'air Express,Unknown,Unknown,AAX,AFREX,Ivory Coast,N
35,Allegiant Air,Unknown,G4,AAY,ALLEGIANT,United States,Y
36,Angus Aviation,Unknown,Unknown,AAZ,ANGUS,Canada,N
37,Artem-Avia,Unknown,Unknown,ABA,ARTEM-AVIA,Ukraine,N
38,African Business and Transportations,Unknown,Unknown,ABB,AFRICAN BUSINESS-,Democratic Republic Of The Congo,N
39,Aban Air,Unknown,K5,ABE,ABAN,Iran,n
40,Aerial Oy,Unknown,Unknown,ABF,SKYWINGS,Finland,N
41,Abakan-Avia,Unknown,Unknown,ABG,ABAKAN-AVIA,Russia,N
42,ABSA - Aerolinhas Brasileiras,Unknown,M3,TUS,ABSA Cargo,Brazil,Y
43,Abaet,Unknown,Unknown,ABJ,Abaet,Brazil,N
44,Alberta Citylink,Unknown,Unknown,ABK,ALBERTA CITYLINK,Canada,N
45,APSA Colombia,Unknown,Unknown,ABO,AEROEXPRESO,Colombia,N
46,Aerovias Bueno,Unknown,Unknown,ABU,AEROBUENO,Colombia,N
47,Aerocenter,Unknown,Unknown,ACR, Escuela de Formacion de Pioltos Privados de Avion,Aerocenter,N
48,Antrak Air,Unknown,04,ABV,ANTRAK,Ghana,N
49,Airborne Express,Unknown,GB,ABX,ABEX,United States,N
50,ABX Air,Unknown,GB,ABX,ABEX,United States,N
51,ATA Brasil,Unknown,Unknown,ABZ,ATA-BRAZIL,Brazil,N
52,Avcard Services,Unknown,Unknown,ACC,Unknown,United Kingdom,N
53,Academy Airlines,Unknown,Unknown,ACD,ACADEMY,United States,N
54,Aero Comondu,Unknown,Unknown,ACO,AERO COMONDU,Mexico,N
55,Astral Aviation,Unknown,8V,ACP,ASTRAL CARGO,Kenya,Y
56,Air Cess,Unknown,Unknown,ACS,Unknown,Liberia,N
57,Air Aurora,Unknown,Unknown,AAI,BOREALIS,United States,N
58,Air Cargo Transportation System,Unknown,Unknown,ACU,AFRISPIRIT,Kenya,N
59,Air Charter Service,Unknown,Unknown,ACV,Unknown,United Kingdom,N
60,Aero Asia International,Unknown,E4,RSO,AERO ASIA,Pakistan,N
61,Air Charters,Unknown,Unknown,ACX,PARAIR,Canada,N
62,Air Togo,Unknown,YT,TGA,AIR TOGO,Togo,N
63,Air Somalia,Unknown,Unknown,RSM,AIR SOMALIA,Somali Republic,N
64,Atlas Cargo Lines,Unknown,Unknown,ACY,ATLAS CARGOLINES,Morocco,N
65,Airservices Australia,Unknown,Unknown,ADA,AUSCAL,Australia,N
66,Advance Leasing Company,Unknown,4G,Unknown,Unknown,United States,N
67,Aztec Worldwide Airlines,Unknown,7A,Unknown,Unknown,United States,N
68,Air Tindi,Unknown,8T,Unknown,Unknown,Canadian Territories,Y
69,Antonov Airlines,Unknown,Unknown,ADB,ANTONOV BUREAU,Ukraine,N
70,Air Atlantic Dominicana,Unknown,Unknown,ADC,ATLAN-DOMINICAN,Dominican Republic,N
71,Advanced Air Co.,Unknown,Unknown,ADD,Unknown,Japan,N
72,Ada Air,Unknown,ZY,ADE,ADA AIR,Albania,Y
73,Aerea Flying Training Organization,Unknown,Unknown,ADG,AEREA TRAINING,Spain,N
74,Audeli Air,Unknown,Unknown,ADI,AUDELI,Spain,N
75,Abicar,Unknown,Unknown,ADJ,ABICAR,Ivory Coast,N
76,ADC Airlines,Unknown,Z7,ADK,ADCO,Nigeria,N
77,Aero Dynamics,Unknown,Unknown,ADL,COTSWOLD,United Kingdom,N
78,Aerolineas Dominicanas,Unknown,Unknown,ADM,DOMINAIR,Dominican Republic,N
79,Aerodienst GmbH,Unknown,Unknown,ADN,AERODIENST,Germany,N
80,Aerodiplomatic,Unknown,Unknown,ADP,AERODIPLOMATIC,Mexico,N
81,Aerodyne,Unknown,Unknown,ADY,AERODYNE,United States,N
82,Avion Taxi,Unknown,Unknown,ADQ,AIR DATA,Canada,N
83,Adria Airways,Unknown,JP,ADR,ADRIA,Slovenia,Y
84,Aviones de Sonora,Unknown,Unknown,ADS,SONORAV,Mexico,N
85,Air Dorval,Unknown,Unknown,ADT,AIR DORVAL,Canada,N
86,Airdeal Oy,Unknown,Unknown,ADU,AIRDEAL,Finland,N
87,Advance Air Charters,Unknown,Unknown,ADV,ADVANCE,Canada,N
88,Air Andaman,Unknown,Unknown,ADW,AIR ANDAMAN,Thailand,N
89,Anderson Aviation,Unknown,Unknown,ADX,ANDAX,United States,N
90,Air Europa,Unknown,UX,AEA,EUROPA,Spain,Y
91,Air Southwest Ltd.,Unknown,Unknown,ASW,AIRSOUTHWEST,Canada,N
92,Air Special,Unknown,Unknown,ASX,AIRSPEC,Czech Republic,N
93,Aero Benin,Unknown,EM,AEB,AEROBEN,Benin,Y
94,Aerocesar,Unknown,Unknown,AEC, Aerovias Del Cesar,Aerocesar,N
95,Aerotrans Airlines,Unknown,Unknown,AED,Unknown,Russia,N
96,Aegean Airlines,Unknown,A3,AEE,AEGEAN,Greece,Y
97,Aerofumigaciones Sam,Unknown,Unknown,AEG,FUMIGACIONES SAM,Chile,N
98,Aeroexpreso Interamericano,Unknown,Unknown,AEI,INTERAM,Colombia,N
99,Air Express,Unknown,Unknown,AEJ,KHAKI EXPRESS,Tanzania,N
100,Aerocon,Unknown,Unknown,AEK,AEROCON,Bolivia,N
101,Aero Madrid,Unknown,Unknown,AEM,AEROMADRID,Spain,N
102,Aeroenlaces Nacionales,Unknown,Unknown,AEN,Unknown,Mexico,N
103,Aeroservicios Ejecutivos Del Occidente,Unknown,Unknown,AEO,AERO OCCIDENTE,Mexico,N
104,Aerotec,Unknown,Unknown,AEP,AEROTEC,Spain,N
105,Air Atlantique,Unknown,KI,AAG,ATLANTIC,United Kingdom,N
106,Air Europe,Unknown,PE,AEL,AIR EUROPE,Italy,Y
107,Air Alma,Unknown,Unknown,AAJ,AIR ALMA,Canada,N
108,Air Express,Unknown,Unknown,AEQ,LUNA,Sweden,N
109,Alaska Central Express,Unknown,KO,AER,ACE AIR,United States,Y
110,ACES Colombia,Unknown,Unknown,AES,ACES,Colombia,Y
111,Aeronautical Radio of Thailand,Unknown,Unknown,AET,AEROTHAI,Thailand,N
112,Astraeus,Unknown,5W,AEU,FLYSTAR,United Kingdom,Y
113,Aeroventas,Unknown,Unknown,AEV,AEROVENTAS,Mexico,N
114,Aerosvit Airlines,Unknown,VV,AEW,AEROSVIT,Ukraine,Y
115,Airway Express,Unknown,Unknown,AEX,AVCO,United States,N
116,Air Italy,Unknown,I9,AEY,AIR ITALY,Italy,Y
117,Aerial Transit Company,Unknown,Unknown,AEZ,AERIAL TRANZ,United States,N
118,Alfa Air,Unknown,Unknown,AFA,BLUE ALFA,Czech Republic,N
119,American Falcon,Unknown,WK,AFB,AMERICAN FALCON,Argentina,N
120,Alliance Airlines,Unknown,QQ,UTY,UNITY,Australia,Y
121,Air Universal,Unknown,Unknown,UVS,UNI-LEONE,Sierra Leone,N
122,Auvia Air,Unknown,Unknown,UVT,AUVIA,Indonesia,N
123,African West Air,Unknown,Unknown,AFC,AFRICAN WEST,Senegal,N
124,Airfast Indonesia,Unknown,Unknown,AFE,AIRFAST,Indonesia,N
125,Ariana Afghan Airlines,Unknown,FG,AFG,ARIANA,Afghanistan,Y
126,Air Fecteau,Unknown,Unknown,AFH,FECTO,Canada,N
127,Africaone,Unknown,Unknown,AFI,AFRICAWORLD,Uganda,N
128,Alliance,Unknown,Unknown,AFJ,JAMBO,Uganda,N
129,Africa Air Links,Unknown,Unknown,AFK,AFRICA LINKS,Sierra Leone,N
130,Aeroflot Russian Airlines,Unknown,SU,AFL,AEROFLOT,Russia,Y
131,Aero Empresa Mexicana,Unknown,Unknown,AFO,AERO EMPRESA,Mexico,N
132,Air Bosna,Unknown,JA,BON,AIR BOSNA,Bosnia And Herzegovina,Y
133,Air Bravo,Unknown,Unknown,BRF,AIR BRAVO,Uganda,N
134,Air Brasd'or,Unknown,Unknown,BRL,BRASD'OR,Canada,N
135,Air 500,Unknown,Unknown,BRM,BOOMERANG,Canada,N
136,Alba Servizi Aerotrasporti,Unknown,Unknown,AFQ,ALBA,Italy,N
137,Air France,Unknown,AF,AFR,AIRFRANS,France,Y
138,Air Partner,Unknown,Unknown,ACG,AIR PARTNER,United Kingdom,N
139,Air Caledonie International,Unknown,SB,ACI,AIRCALIN,France,Y
140,Air Caledonia,Unknown,Unknown,ACM,WEST CAL,Canada,N
141,Air Guam,Unknown,Unknown,AGM,AIR GUAM,United States,N
142,Air Gabon,Unknown,GN,AGN,GOLF NOVEMBER,Gabon,N
143,Air Data,Unknown,Unknown,AFS,Unknown,United Kingdom,N
144,Air Afrique Vacancies,Unknown,Unknown,AFV,AFRIQUE VACANCE,Ivory Coast,N
145,Air Cargo America,Unknown,Unknown,MVM,PEGASUS,United States,N
146,Air Salone,Unknown,2O,Unknown,Unknown,Sierra Leone,Y
147,Air-Angol,Unknown,Unknown,NGO,AIR ANGOL,Angola,N
148,Air Nigeria,Unknown,Unknown,NGP,REGAL EAGLE,Nigeria,N
149,Air Cargo Carriers,Unknown,2Q,SNC,NIGHT CARGO,United States,Y
150,Air Samarkand,Unknown,Unknown,SND,ARSAM,Uzbekistan,N
151,Air Senegal International,Unknown,V7,SNG,AIR SENEGAL,Senegal,N
152,Air Sandy,Unknown,Unknown,SNY,AIR SANDY,Canada,N
153,Air Namibia,Unknown,SW,NMB,NAMIBIA,Namibia,Y
154,Air Intersalonika,Unknown,Unknown,NSK,INTERSALONIKA,Greece,N
155,Air Anatolia,Unknown,Unknown,NTL,AIR ANATOLIA,Turkey,N
156,Air Saigon,Unknown,Unknown,SGA,AIR SAIGON,Vietnam,N
157,Afrique Regional Airways,Unknown,Unknown,AFW,AFRAIR,Ivory Coast,N
158,Airfreight Express,Unknown,Unknown,AFX, ,United Kingdom,N
159,Africa Chartered Services,Unknown,Unknown,AFY,AFRICA CHARTERED,Nigeria,N
160,Africa Freight Services,Unknown,Unknown,AFZ,AFREIGHT,Zambia,N
161,Aeronaves Del Centro,Unknown,Unknown,AGA,Unknown,Venezuela,N
162,Air Service Gabon,Unknown,G8,AGB,Unknown,Gabon,N
163,Arab Agricultural Aviation Company,Unknown,Unknown,AGC,AGRICO,Egypt,N
164,Atlantic Gulf Airlines,Unknown,Unknown,AGF,ATLANTIC GULF,United States,N
165,Aerolitoral,Unknown,5D,SLI,COSTERA,Mexico,Y
166,Algoma Airways,Unknown,Unknown,AGG,ALGOMA,Canada,N
167,Altagna,Unknown,Unknown,AGH,ALTAGNA,France,N
168,Angola Air Charter,Unknown,Unknown,AGO,ANGOLA CHARTER,Angola,N
169,Angola Air Charter,Unknown,Unknown,AGO,ANGOLA CHARTER,Angola,N
170,AERFI Group,Unknown,Unknown,AGP,AIR TARA,Ireland,N
171,Aerogala,Unknown,Unknown,AGQ,GALASERVICE,Chile,N
172,Amadeus Global Travel Distribution,Unknown,1A,AGT,AMADEUS,Spain,N
173,Angara Airlines,Unknown,Unknown,AGU,SARMA,Russia,N
174,Air Glaciers,Unknown,7T,AGV,AIR GLACIERS,Switzerland,Y
175,Aero Gambia,Unknown,Unknown,AGW,AERO GAMBIA,Gambia,N
176,Aviogenex,Unknown,Unknown,AGX,GENEX,Serbia,Y
177,Atlantic Coast Airlines,Unknown,Unknown,BLR,BLUE RIDGE,United States,N
178,Aero Barloz,Unknown,Unknown,BLZ,AEROLOZ,Mexico,N
179,Aeroper,Unknown,PL,PLI,Aeroperu,Peru,Y
180,Atlas Blue,Unknown,8A,BMM,ATLAS BLUE,Morocco,Y
181,Aero Banobras,Unknown,Unknown,BNB,AEROBANOBRAS,Mexico,N
182,Aero Flight Service,Unknown,Unknown,AGY,FLIGHT GROUP,United States,N
183,Agrolet-Mci,Unknown,Unknown,AGZ,AGROLET,Slovakia,N
184,Air Alpha Greenland,Unknown,GD,AHA,AIR ALPHA,Denmark,N
185,Azal Avia Cargo,Unknown,Unknown,AHC,AZALAVIACARGO,Azerbaijan,N
186,Airport Helicopter Basel,Unknown,Unknown,AHE, Muller & Co.,Airport Helicopter,N
187,Aeroservices Corporate,Unknown,Unknown,CJE,BIRD JET,France,N
188,Aspen Helicopters,Unknown,Unknown,AHF,ASPEN,United States,N
189,Aerochago Airlines,Unknown,Unknown,AHG,AEROCHAGO,Dominican Republic,N
190,Airplanes Holdings,Unknown,Unknown,AHH,AIRHOLD,Ireland,N
191,Air Hong Kong,Unknown,LD,AHK,AIR HONG KONG,Hong Kong,N
192,Aerochiapas,Unknown,Unknown,AHP,AEROCHIAPAS,Mexico,N
193,Air Adriatic,Unknown,Unknown,AHR,ADRIATIC,Croatia,N
194,Air Viggi San Raffaele,Unknown,Unknown,AHS,AIRSAR,Italy,N
195,ABC Air Hungary,Unknown,Unknown,AHU,ABC HUNGARY,Hungary,N
196,Aeromist-Kharkiv,Unknown,HT,AHW,AEROMIST,Ukraine,N
197,Azerbaijan Airlines,Unknown,J2,AHY,AZAL,Azerbaijan,Y
198,Avies,Unknown,U3,AIA,AVIES,Estonia,Y
199,Airbus Industrie,Unknown,AP,AIB,AIRBUS INDUSTRIE,France,N
200,Alpine Air Chile,Unknown,Unknown,AIH,ALPINE CHILE,Chile,N
201,Air Integra,Unknown,Unknown,AII,INTEGRA,Canada,N
202,ABC Aerolineas,Unknown,Unknown,AIJ,ABC AEROLINEAS,Mexico,N
203,African Airlines International Limited,Unknown,Unknown,AIK,AFRICAN AIRLINES,Kenya,N
204,African International Airways,Unknown,Unknown,AIN,FLY CARGO,Swaziland,N
205,Alpine Air Express,Unknown,5A,AIP,ALPINE AIR,United States,N
206,Alicante Internacional Airlines,Unknown,Unknown,AIU,ALIA,Spain,N
207,Aba Air,Unknown,Unknown,ABP,BAIR,Czech Republic,N
208,Airblue,Unknown,ED,ABQ,PAKBLUE,Pakistan,Y
209,Airmark Aviation,Unknown,Unknown,THM,THAI AIRMARK,Thailand,N
210,Airlift International,Unknown,Unknown,AIR,AIRLIFT,United States,Y
211,Airest,Unknown,Unknown,AIT, ,Estonia,N
212,Air Baffin,Unknown,Unknown,BFF,AIR BAFFIN,Canada,N
213,Air Bandama,Unknown,Unknown,BDM,BANDAMA,Ivory Coast,N
214,Air Berlin,Unknown,AB,BER,AIR BERLIN,Germany,Y
215,Air Brousse,Unknown,Unknown,ABT,AIR BROUSSE,Canada,N
216,Air Contractors,Unknown,AG,ABR,CONTRACT,Ireland,N
217,Air Illinois,Unknown,Unknown,AIL,AIR ILLINOIS,United States,N
218,Air India Limited,Unknown,AI,AIC,AIRINDIA,India,Y
219,Air Inter Gabon,Unknown,Unknown,AIG, ,Gabon,N
220,Air Bourbon,Unknown,ZB,BUB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,Unknown,CC,ABD,ATLANTA,Iceland,Y
222,Air Inuit,Unknown,Unknown,AIE,AIR INUIT,Canada,N
223,Air Sureste,Unknown,Unknown,AIS,SURESTE,Spain,N
224,Air Srpska,Unknown,RB,SBK,Air Srpska,Bosnia And Herzegovina,N
225,Air Tahiti Nui,Unknown,TN,THT,TAHITI AIRLINES,France,Y
226,Airvias S/A Linhas Aereas,Unknown,Unknown,AIV,AIRVIAS,Brazil,N
227,Aero Services Executive,Unknown,W4,BES,BIRD EXPRESS,France,N
228,Atlantic Island Airways,Unknown,Unknown,AIW,TARTAN,Canada,N
229,Aircruising Australia,Unknown,Unknown,AIX,CRUISER,Australia,N
230,Aircrew Check and Training Australia,Unknown,Unknown,AIY,AIRCREW,Australia,N
231,Arkia Israel Airlines,Unknown,IZ,AIZ,ARKIA,Israel,Y
232,A J Services,Unknown,Unknown,AJA,AYJAY SERVICES,United Kingdom,N
233,Aero JBR,Unknown,Unknown,AJB,AERO JBR,Mexico,N
234,Aero Jet Express,Unknown,Unknown,AJE,JET EXPRESS,Mexico,N
235,Avia Consult Flugbetriebs,Unknown,Unknown,AJF,AVIACONSULT,Austria,N
236,Ameristar Jet Charter,Unknown,Unknown,AJI,AMERISTAR,United States,N
237,A2 Jet Leasing,Unknown,Unknown,AJJ,ATLANTIC JET,United States,N
238,Allied Air,Unknown,Unknown,AJK,BAMBI,Nigeria,N
239,Air Jamaica,Unknown,JM,AJM,JAMAICA,Jamaica,Y
240,Air One,Unknown,AP,ADH,HERON,Italy,Y
241,Air Sahara,Unknown,S2,RSH,SAHARA,India,Y
242,Air Malta,Unknown,KM,AMC,AIR MALTA,Malta,Y
243,Aeroejecutivo,Unknown,Unknown,AJO,AEROEXO,Mexico,N
244,Aero Jets Corporativos,Unknown,Unknown,AJP,AEROJETS,Mexico,N
245,Aeroejecutivos Colombia,Unknown,Unknown,AJS,AEROEJECUTIVOS,Colombia,N
246,Amerijet International,Unknown,M6,AJT,AMERIJET,United States,N
247,Air Jetsul,Unknown,Unknown,AJU,AIRJETSUL,Portugal,N
248,ANA & JP Express,Unknown,Unknown,AJV,AYJAY CARGO,Japan,N
249,Alpha Jet International,Unknown,Unknown,AJW,ALPHAJET,United States,N
250,Air Japan,Unknown,NQ,AJX,AIR JAPAN,Japan,Y
251,Ajet,Unknown,Unknown,AJY,AYJET,Cyprus,N
252,Air Korea Co. Ltd.,Unknown,Unknown,AKA,Unknown,Republic Of Korea,Y
253,Air Livonia,Unknown,Unknown,LIV,LIVONIA,Estonia,N
254,Air BC,Unknown,Unknown,ABL,AIRCOACH,Canada,N
255,Air Fret Senegal,Unknown,Unknown,ABN, ,Senegal,N
256,Air Jamahiriya Company,Unknown,Unknown,LJA,AIR JAMAHIRIYA,Libya,N
257,Aktjubavia,Unknown,Unknown,AKB,KARAB,Kazakhstan,N
258,Arca Aerovias Colombianas Ltda.,Unknown,Unknown,AKC,ARCA,Colombia,N
259,Anikay Air Company,Unknown,Unknown,AKF,ANIKAY,Kyrgyzstan,N
260,Akhal,Unknown,Unknown,AKH,AKHAL,Turkmenistan,N
261,Aeromilenio,Unknown,Unknown,MNI,AEROMIL,Mexico,N
262,Aklak Air,Unknown,Unknown,AKK,AKLAK,Canada,N
263,Air Kiribati,Unknown,4A,AKL,Unknown,Kiribati,Y
264,Alkan Air,Unknown,Unknown,AKN,ALKAN AIR,Canada,N
265,Angkor Airways,Unknown,Unknown,AKW,ANGKORWAYS,Cambodia,N
266,Air Nippon Network Co. Ltd.,Unknown,EH,AKX,ALFA WING,Japan,N
267,AK Navigator LLC,Unknown,Unknown,AKZ,ABSOLUTE,Kazakhstan,N
268,Aero Albatros,Unknown,Unknown,ALB,ALBATROS,Mexico,N
269,Albion Aviation,Unknown,Unknown,ALD,ALBION,United Kingdom,N
270,Aeroalas Colombia,Unknown,Unknown,ALE,AEROALAS,Colombia,N
271,Allied Command Europe (Mobile Force),Unknown,Unknown,ALF,ACEFORCE,Belgium,N
272,Aerotaxis Albatros,Unknown,Unknown,BTS,AEROLINEAS ALBATROS,Mexico,N
273,American Flyers,Unknown,Unknown,FYS,AMERICAN FLYERS,United States,N
274,Aero Coach Aviation,Unknown,Unknown,DFA,AERO COACH,United States,N
275,Atlantic Southeast Airlines,Unknown,Unknown,CAA,Chandler,United States,N
276,ACM Air Charter,Unknown,Unknown,BVR,BAVARIAN,Germany,N
277,Air Logistics,Unknown,Unknown,ALG,AIRLOG,United States,N
278,Aerovallarta,Unknown,Unknown,ALL,VALLARTA,Mexico,N
279,Air ALM,Unknown,Unknown,ALM,ANTILLEAN,Netherlands Antilles,N
280,Air Lincoln,Unknown,Unknown,ALN,CHICAGO LINCOLN,United States,N
281,America West Airlines,Unknown,HP,AWE,CACTUS,United States,Y
282,Air Wisconsin,Unknown,ZW,AWI,AIR WISCONSIN,United States,Y
283,Aerotransporte de Carga Union,Unknown,Unknown,TNO,AEROUNION,Mexico,N
284,Aero Taxis Cessna,Unknown,Unknown,TND,TAXIS CESSNA,Mexico,N
285,Arizona Express Airlines,Unknown,Unknown,TMP,TEMPE,United States,N
286,Tatarstan Airlines,Unknown,U9,TAK,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,Unknown,Unknown,ALO,ALLEGHENY,United States,Y
288,Alpliner AG,Unknown,Unknown,ALP,ALPINER,Switzerland,N
289,Altair Aviation (1986),Unknown,Unknown,ALQ,ALTAIR,Canada,N
290,Air Luxor STP,Unknown,Unknown,ALU,LUXORJET,Sao Tome And Principe,N
291,Alas de Venezuela,Unknown,Unknown,ALV,ALVEN,Venezuela,N
292,Alas Nacionales,Unknown,Unknown,ALW, S.A.,Alnacional,N
293,Alyeska Air Service,Unknown,Unknown,ALY,ALYESKA,United States,N
294,Alta Flights (Charters) Ltd.,Unknown,Unknown,ALZ, ,Canada,N
295,Air Sunshine,Unknown,Unknown,RSI,AIR SUNSHINE,United States,Y
296,ATMA,Unknown,Unknown,AMA,ADIK,Kazakhstan,N
297,Aerolineas Medellin,Unknown,Unknown,AMD,AEROLINEAS MEDELLIN,Colombia,N
298,Ameriflight,Unknown,Unknown,AMF,AMFLIGHT,United States,N
299,Air Libert,Unknown,VD,Unknown,Unknown,France,Y
300,Air Lithuania,Unknown,TT,KLA,KAUNAS,Lithuania,N
301,Air Minas Linhas A,Unknown,Unknown,AMG,AIR MINAS,Brazil,N
302,Alan Mann Helicopters Ltd.,Unknown,Unknown,AMH,MANN,United Kingdom,N
303,Air Maldives,Unknown,Unknown,AMI,AIR MALDIVES,Maldives,N
304,Aviation Amos,Unknown,Unknown,AMJ,AVIATION AMOS,Canada,N
305,Amerer Air,Unknown,Unknown,AMK,AMER AIR,Austria,N
306,Air Malawi,Unknown,QM,AML,MALAWI,Malawi,Y
307,Aeroputul International Marculesti,Unknown,Unknown,AMM,AEROM,Moldova,N
308,Air Montenegro,Unknown,Unknown,AMN,MONTENEGRO,Montenegro,N
309,Air Montreal (Air Holdings Inc.),Unknown,Unknown,AMO,AIR MONTREAL,Canada,N
310,Aero Transporte S.A. (ATSA),Unknown,Unknown,AMP,ATSA,Peru,N
311,Aeromedicare Ltd.,Unknown,Unknown,AMQ,LIFELINE,United Kingdom,N
312,Air Sicilia,Unknown,BM,Unknown,Unknown,Italy,Y
313,Air Specialties Corporation,Unknown,Unknown,AMR,AIR AM,United States,N
314,Air Muskoka,Unknown,Unknown,AMS,AIR MUSKOKA,Canada,N
315,ATA Airlines,Unknown,Unknown,AMT,AMTRAN,United States,Y
316,Air Macau,Unknown,NX,AMU,AIR MACAO,Macao,Y
317,AMC Airlines,Unknown,Unknown,AMV,Unknown,Egypt,Y
318,Air Midwest,Unknown,ZV,AMW,AIR MIDWEST,United States,N
319,Air Seychelles,Unknown,HM,SEY,SEYCHELLES,Seychelles,Y
320,Air Sofia,Unknown,Unknown,SFB,AIR SOFIA,Bulgaria,N
321,AeroMéxico,Unknown,AM,AMX,AEROMEXICO,Mexico,Y
322,Air Ambar,Unknown,Unknown,AMY,AIR AMBAR,Dominican Republic,N
323,Amiya Airline,Unknown,Unknown,AMZ,AMIYA AIR,Nigeria,N
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
325,Air Navigation And Trading Co. Ltd.,Unknown,Unknown,ANB,AIR NAV,United Kingdom,N
326,Anglo Cargo,Unknown,Unknown,ANC,ANGLO,United Kingdom,N
327,Air Nostrum,Unknown,YW,ANE,AIR NOSTRUM,Spain,Y
328,Air Niugini,Unknown,PX,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,Unknown,G9,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,Unknown,AC,ACA,AIR CANADA,Canada,Y
331,Airport Bratsk,Unknown,Unknown,BRP,AEROBRA,Russia,N
332,Air Wings,Unknown,Unknown,BSB,ARBAS,Moldova,N
333,Air Baltic,Unknown,BT,BTI,AIRBALTIC,Latvia,Y
334,Alajnihah for Air Transport,Unknown,Unknown,ANH,ALAJNIHAH,Libya,N
335,Air Atlantic (Nig) Limited,Unknown,Unknown,ANI,NIGALANTIC,Nigeria,N
336,Air Nippon,Unknown,EL,ANK,ANK AIR,Japan,Y
337,Antares Airtransport,Unknown,Unknown,ANM, Maintenance & Service GmbH,Antares,N
338,Airnorth,Unknown,TL,ANO,TOPEND,Australia,Y
339,Aerol,Unknown,Unknown,ANQ,ANTIOQUIA,Colombia,N
340,Andes Lineas Aereas,Unknown,Unknown,ANS,AEROANDES,Argentina,N
341,Air North Charter - Canada,Unknown,4N,ANT,AIR NORTH,Canada,Y
342,Air Nevada,Unknown,Unknown,ANV,AIR NEVADA,United States,N
343,AOM French Airlines,Unknown,IW,AOM,French Lines,France,N
344,Aviacion Del Noroeste,Unknown,Unknown,ANW, S.A. de C.V.,Avinor,N
345,Air New Zealand,Unknown,NZ,ANZ,NEW ZEALAND,New Zealand,Y
346,Avia Jaynar,Unknown,Unknown,SAP,TOBOL,Kazakhstan,N
347,Aero Servicios Empresariales,Unknown,Unknown,EMS,SERVIEMPRESARIAL,Mexico,N
348,Alcon Servicios Aereos,Unknown,Unknown,AOA, S.A. de C.V.,Alcon,N
349,AVCOM,Unknown,J6,AOC,AERO AVCOM,Russia,N
350,Aero Vodochody,Unknown,Unknown,AOD,AERO CZECH,Czech Republic,N
351,Air One Executive,Unknown,Unknown,AOE, ,Italy,N
352,Atair Pty Ltd.,Unknown,Unknown,AOF,ATAIR,South Africa,N
