airport_id,name,city,country,iata_code,icao_code,latitude,longitude,Altitude,timezone_offset,DST,time_zone_identifier,airport_type,geom
13300,Salzwedel Railway Station,Salzwedel,Germany,Unknown,Unknown,52.858056,11.161667,70,1,Europe,Unknown zone identifier,Unknown,POINT(11.161667 52.858056)
13301,Uelzen Railway Station,Uelzen,Germany,Unknown,Unknown,52.969722,10.553056,145,1,Europe,Unknown zone identifier,Unknown,POINT(10.553056 52.969722)
13302,Celle Railway Station,Celle,Germany,Unknown,Unknown,52.620896,10.062613,135,1,Europe,Unknown zone identifier,Unknown,POINT(10.062613 52.620896)
13303,Langenhagen-Mitte Station,Langenhagen,Germany,Unknown,Unknown,52.440654,9.725853,187,1,Europe,Unknown zone identifier,Unknown,POINT(9.725853 52.440654)
13304,Kavac,Kavac,Venezuela,Unknown,Unknown,5.71500015258789,-62.406665802002,1600,5,South America,Unknown zone identifier,Unknown,POINT(-62.406665802002 5.71500015258789)
13305,Oebisfelde Railway Station,Oebisfelde,Germany,Unknown,Unknown,52.439167,10.983889,202,1,Europe,Unknown zone identifier,Unknown,POINT(10.983889 52.439167)
13306,Coonawarra Airport,Coonawarra,Australia,Unknown,YCNQ,-37.28329849243164,140.8000030517578,0,9.5,Australia,Unknown zone identifier,airport,POINT(140.8000030517578 -37.28329849243164)
13307,Naracoorte Airport,Naracoorte,Australia,NAC,YNRC,-36.98529815673828,140.72500610351562,169,9.5,Australia,Unknown zone identifier,airport,POINT(140.72500610351562 -36.98529815673828)
13308,Aerodrom Luncani,Luncani,Romania,Unknown,Unknown,46.4807825,23.9321279,600,2,Europe,Unknown zone identifier,Unknown,POINT(23.9321279 46.4807825)
13309,Camilla Mitchell County Airport,Camilla,United States,Unknown,KCXU,31.212900161743164,-84.23680114746094,175,-5,DST not observed,Unknown zone identifier,airport,POINT(-84.23680114746094 31.212900161743164)
13310,Eschede Railway Station,Eschede,Germany,Unknown,Unknown,52.740495,10.229789,256,1,Europe,Unknown zone identifier,Unknown,POINT(10.229789 52.740495)
13311,Clarenville Airport,Clarenville,Canada,Unknown,CCZ3,48.27470016479492,-53.92390060424805,199,-3.5,US/Canada,Unknown zone identifier,airport,POINT(-53.92390060424805 48.27470016479492)
13312,Trebbin Railway Station,Trebbin,Germany,Unknown,Unknown,52.216937,13.229888,131,1,Europe,Unknown zone identifier,Unknown,POINT(13.229888 52.216937)
13313,Ludwigsfelde Railway Station,Ludwigsfelde,Germany,Unknown,Unknown,52.298411,13.267473,145,1,Europe,Unknown zone identifier,Unknown,POINT(13.267473 52.298411)
13314,Luckenwalde Railway Station,Luckenwalde,Germany,Unknown,Unknown,52.091389,13.159671,163,1,Europe,Unknown zone identifier,Unknown,POINT(13.159671 52.091389)
13315,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,Ponta Grossa,Brazil,PGZ,SSZW,-25.1847,-50.1441,2588,-3,South America,Unknown zone identifier,airport,POINT(-50.1441 -25.1847)
13316,Berlin-Friedrichsfelde Ost Station,Berlin,Germany,Unknown,Unknown,52.5141,13.5198,164,1,Europe,Unknown zone identifier,Unknown,POINT(13.5198 52.5141)
13317,Strausberg Lustgarten,Strausberg,Germany,Unknown,Unknown,52.576211,13.880869,224,1,Europe,Unknown zone identifier,Unknown,POINT(13.880869 52.576211)
13318,Rudersdorf Rathaus,Rudersdorf,Germany,Unknown,Unknown,52.470408,13.786431,149,1,Europe,Unknown zone identifier,Unknown,POINT(13.786431 52.470408)
13319,Woltersdorf Rathaus,Woltersdorf,Georgia,Unknown,Unknown,52.450259,13.753603,164,1,Europe,Unknown zone identifier,Unknown,POINT(13.753603 52.450259)
13320,Livorno - Florence-Pisa Cruise Port,Livorno,Italy,Unknown,Unknown,43.5565286,10.2962229,0,1,Europe,Unknown zone identifier,Unknown,POINT(10.2962229 43.5565286)
13321,Civitavecchia Port of Rome,Civitavecchia,Italy,Unknown,Unknown,42.0976089,11.7814614,0,1,Europe,Unknown zone identifier,Unknown,POINT(11.7814614 42.0976089)
13322,Palma de Mallorca Cruise Terminal,Palma de Mallorca,Spain,Unknown,Unknown,39.5610245,2.607506,0,1,Europe,Unknown zone identifier,Unknown,POINT(2.607506 39.5610245)
13323,Coswig Anhalt Railway Station,Coswig Anhalt,Germany,Unknown,Unknown,51.887924,12.458085,268,1,Europe,Unknown zone identifier,Unknown,POINT(12.458085 51.887924)
13324,Don Sheldon Amphitheater,Talkeetna,United States,Unknown,Unknown,62.96733331,-150.7487833,5800,-10,DST not observed,Unknown zone identifier,Unknown,POINT(-150.7487833 62.96733331)
13325,Gjakova Air Force Base,Gjakova,Serbia,Unknown,LYDK,42.4352,20.427401,1370,1,Europe,Unknown zone identifier,Unknown,POINT(20.427401 42.4352)
13326,Wismar Station,Wismar,Germany,Unknown,Unknown,53.897,11.469,0,2,Europe,Unknown zone identifier,Unknown,POINT(11.469 53.897)
13327,Portland Transportation Center,Portland,United States,Unknown,Unknown,43.654,-70.291,0,-5,US/Canada,Unknown zone identifier,Unknown,POINT(-70.291 43.654)
13328,Sun Island Resort and SPA,Sount Ari Atoll,Maldives,Unknown,Unknown,3.48821,72.802061,0,6,DST not observed,Unknown zone identifier,Unknown,POINT(72.802061 3.48821)
13329,Western Avenue Station,Chicago,United States,Unknown,Unknown,41.8892,-87.6881,600,-6,US/Canada,Unknown zone identifier,Unknown,POINT(-87.6881 41.8892)
13330,Mayfair Station,Chicago,United States,Unknown,Unknown,41.9602,-87.7463,616,-6,US/Canada,Unknown zone identifier,Unknown,POINT(-87.7463 41.9602)
13331,Gladstone Park Station,Chicago,United States,Unknown,Unknown,41.9798,-87.7779,623,-6,US/Canada,Unknown zone identifier,Unknown,POINT(-87.7779 41.9798)
13332,Soutch China Sea,AMPA6,Brunei,Unknown,AMPA,4.76,114.17,0,8,DST not observed,Unknown zone identifier,Unknown,POINT(114.17 4.76)
13333,Istres Le Tube,Istres,France,QIE,Unknown,43.3128,4.563,161,13.5,DST not observed,Unknown zone identifier,Unknown,POINT(4.563 43.3128)
13334,Palenque International Airport,Palenque,Mexico,PQM,MMPQ,17.533153,-92.015484,200,-5,DST not observed,Unknown zone identifier,airport,POINT(-92.015484 17.533153)
13335,Caloundra Airport,Caloundra,Australia,CUD,YCDR,-26.799999237060547,153.10000610351562,12,10,None,Unknown zone identifier,airport,POINT(153.10000610351562 -26.799999237060547)
13336,Clarks Point Airport,Clarks Point,United States,CLP,PFCL,58.83369827,-158.529007,80,-9,US/Canada,Unknown zone identifier,airport,POINT(-158.529007 58.83369827)
13337,Waterfall Seaplane Base,Waterfall,United States,KWF,Unknown,55.296389,-133.243333,0,-9,US/Canada,Unknown zone identifier,Unknown,POINT(-133.243333 55.296389)
13338,Orange Walk Airport,Orange Walk Town,Belize,ORZ,Unknown,18.046111,-88.583611,112,-6,None,Unknown zone identifier,Unknown,POINT(-88.583611 18.046111)
13339,Ospika Airport,Williston Lake,Canada,Unknown,CBA9,56.275001525878906,-124.052001953125,2300,-8,US/Canada,Unknown zone identifier,airport,POINT(-124.052001953125 56.275001525878906)
13340,Mayne Island Water Aerodrome,Miners Bay,Canada,Unknown,CAW7,48.866667,-123.3,0,-8,US/Canada,Unknown zone identifier,Unknown,POINT(-123.3 48.866667)
13341,Charlottetown Airport,Charlottetown,Canada,Unknown,CCH4,52.76499938964844,-56.1156005859375,209,-3.5,US/Canada,Unknown zone identifier,airport,POINT(-56.1156005859375 52.76499938964844)
13342,Doris Lake,Doris Lake,Canada,JOJ,CDL7,68.1252746582,-106.585281372,50,-7,US/Canada,Unknown zone identifier,airport,POINT(-106.585281372 68.1252746582)
13343,Bor,Bor,South Sudan,Unknown,Unknown,6.21327,31.56554,51,2,DST not observed,Unknown zone identifier,Unknown,POINT(31.56554 6.21327)
13344,Costa Esmeralda Airport,Tola,Nicaragua,ECI,MNCE,11.427542,-86.033361,84,-6,None,Unknown zone identifier,airport,POINT(-86.033361 11.427542)
13345,Cueva Las Maravillas Airport,San Pedro de Macoris,Dominican Republic,Unknown,MDSP,18.45,-69.3,13,-4,None,Unknown zone identifier,Unknown,POINT(-69.3 18.45)
13346,Monte Cristi Airport,Montecristi,Dominican Republic,Unknown,MDMC,19.865299224900003,-71.6453018188,121,-4,None,Unknown zone identifier,airport,POINT(-71.6453018188 19.865299224900003)
13347,El Papalon Airport,San Miguel,El Salvador,Unknown,MSSM,13.444100379943848,-88.12699890136719,283,-6,None,Unknown zone identifier,airport,POINT(-88.12699890136719 13.444100379943848)
13348,Carti Airport,Carti Islands,Panama,CTE,Unknown,9.452778,-78.979167,17,-5,None,Unknown zone identifier,Unknown,POINT(-78.979167 9.452778)
13349,San Jose Airport,San Jose,Panama,Unknown,Unknown,8.2625,-79.077778,130,-5,None,Unknown zone identifier,Unknown,POINT(-79.077778 8.2625)
13350,Pedasi Airport,Pedasi,Panama,PDM,Unknown,7.556944,-80.023611,33,-5,None,Unknown zone identifier,Unknown,POINT(-80.023611 7.556944)
13351,San Miguel Airport,San Miguel,Panama,NMG,Unknown,8.456944,-78.933333,141,-5,None,Unknown zone identifier,Unknown,POINT(-78.933333 8.456944)
13352,Suderburg Railway Station,Suderburg,Germany,Unknown,Unknown,52.900717,10.439089,234,1,Europe,Unknown zone identifier,Unknown,POINT(10.439089 52.900717)
13353,Unterluss Railway Station,Unterluss,Germany,Unknown,Unknown,52.834618,10.29978,343,1,Europe,Unknown zone identifier,Unknown,POINT(10.29978 52.834618)
13354,Sandpoint Airport,Sandpoint,United States,Unknown,KSZT,48.299499511719,-116.55999755859,2131,-8,US/Canada,Unknown zone identifier,airport,POINT(-116.55999755859 48.299499511719)
13355,Attu Heliport,Attu,Greenland,QGQ,BGAT,67.9406628551,-53.6218696833,32,-3,None,Unknown zone identifier,airport,POINT(-53.6218696833 67.9406628551)
13356,Kangaatsiaq Heliport,Kangaatsiaq,Greenland,QPW,BGKA,68.3126574861,-53.4602075815,17,-3,None,Unknown zone identifier,airport,POINT(-53.4602075815 68.3126574861)
13357,Kitsissuarsuit Heliport,Kitsissuarsuit,Greenland,QJE,BGKT,68.85792599759999,-53.1232953072,18,-3,None,Unknown zone identifier,airport,POINT(-53.1232953072 68.85792599759999)
13358,Niaqornaarsuk Heliport,Niaqornaarsuk,Greenland,Unknown,BGNK,68.236381,-52.852148,152,-3,None,Unknown zone identifier,airport,POINT(-52.852148 68.236381)
13359,Ilimanaq Heliport,Ilimanaq,Greenland,XIQ,BGIL,69.0809150007,-51.1143153906,52,-3,None,Unknown zone identifier,airport,POINT(-51.1143153906 69.0809150007)
13360,Qeqertaq Heliport,Qeqertaq,Greenland,QQT,BGQE,69.9958611087,-51.3009166718,69,-3,None,Unknown zone identifier,airport,POINT(-51.3009166718 69.9958611087)
13361,Saqqaq Heliport,Saqqaq,Greenland,Unknown,BGSQ,70.011448,-51.932142,38,-3,None,Unknown zone identifier,airport,POINT(-51.932142 70.011448)
13362,Moriusaq Heliport,Moriusaq,Greenland,Unknown,BGMO,76.763889,-69.997222,44,-4,None,Unknown zone identifier,Unknown,POINT(-69.997222 76.763889)
13363,Savissivik Heliport,Savissivik,Greenland,Unknown,BGSV,76.01861346460001,-65.1176834106,24,-4,None,Unknown zone identifier,airport,POINT(-65.1176834106 76.01861346460001)
13364,Siorapaluk Heliport,Siorapaluk,Greenland,Unknown,BGSI,77.7865173475,-70.6386566162,102,-4,None,Unknown zone identifier,airport,POINT(-70.6386566162 77.7865173475)
13365,Aappilattoq (Qaasuitsup) Heliport,Aappilattoq,Greenland,Unknown,BGAG,72.8870298223,-55.5962866545,42,-3,None,Unknown zone identifier,airport,POINT(-55.5962866545 72.8870298223)
13366,Innarsuit Heliport,Innaarsuit,Greenland,Unknown,BGIN,73.1998953377,-56.0108166933,95,-3,None,Unknown zone identifier,airport,POINT(-56.0108166933 73.1998953377)
13367,Kangersuatsiaq Heliport,Kangersuatsiaq,Greenland,Unknown,BGKS,72.38109155069999,-55.53658604619999,112,-3,None,Unknown zone identifier,airport,POINT(-55.53658604619999 72.38109155069999)
13368,Kullorsuaq Heliport,Kullorsuaq,Greenland,Unknown,BGKQ,74.5780498288,-57.2268283367,148,-3,None,Unknown zone identifier,airport,POINT(-57.2268283367 74.5780498288)
13369,Nuussuaq Heliport,Nuussuaq,Greenland,Unknown,BGNU,74.1098528514,-57.0650374889,184,-3,None,Unknown zone identifier,airport,POINT(-57.0650374889 74.1098528514)
13370,Tasiusaq (Qaasuitsup) Heliport,Tasiusaq,Greenland,Unknown,BGTA,73.37305450439999,-56.0602798462,181,-3,None,Unknown zone identifier,airport,POINT(-56.0602798462 73.37305450439999)
13371,Upernavik Kujalleq Heliport,Upernavik Kujalleq,Greenland,Unknown,BGKL,72.1527425265,-55.5309855938,92,-3,None,Unknown zone identifier,airport,POINT(-55.5309855938 72.1527425265)
13372,Aappilattoq (Kujalleq) Heliport,Aappilattoq,Greenland,Unknown,BGAQ,60.148357,-44.286916,30,-3,DST not observed,Unknown zone identifier,airport,POINT(-44.286916 60.148357)
13373,Tasiusaq (Kujalleq) Heliport,Tasiusaq,Greenland,Unknown,BGTQ,60.1943053097,-44.8134469986,21,-3,None,Unknown zone identifier,airport,POINT(-44.8134469986 60.1943053097)
13374,Narsaq Kujalleq Heliport,Narsaq Kujalleq,Greenland,Unknown,BGFD,60.004694,-44.656935,44,-3,None,Unknown zone identifier,airport,POINT(-44.656935 60.004694)
13375,Ikamiut Heliport,Ikamiut,Greenland,QJI,BGIT,68.6342530984,-51.8322622776,49,-3,None,Unknown zone identifier,airport,POINT(-51.8322622776 68.6342530984)
